CMS Certification Number (CCN),Facility Name,City,State,Zip Code,PhoneNumber,Ownership Type,Total Number of Beds
52039,KINDRED HOSPITAL BREA,BREA,CA,92821,(714) 529-6842,For profit,48
452028,KINDRED HOSPITAL-TARRANT COUNTY,ARLINGTON,TX,76011,(817) 543-0200,For profit,80
282003,MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA,OMAHA,NE,68118,(402) 401-3000,Non-profit,32
452057,NEXUS SPECIALTY HOSPITAL THE WOODLANDS,THE WOODLANDS,TX,77380,(713) 364-0317,For profit,75
152028,VIBRA HOSPITAL OF NORTHWESTERN INDIANA,CROWN POINT,IN,46307,(219) 472-2200,For profit,40
192008,SAGE SPECIALTY CARE HOSPITAL,DENHAM SPRINGS,LA,70726,(225) 665-2664,For profit,59
452087,SELECT SPECIALITY HOSPITAL OF LONGVIEW,LONGVIEW,TX,75601,(903) 315-1111,For profit,32
392037,SELECT SPECIALTY HOSPITAL - ERIE,ERIE,PA,16501,(814) 874-5300,For profit,50
192055,LOUISIANA EXTENDED CARE HOSPITAL OF WEST MONROE,WEST MONROE,LA,71291,(318) 329-4300,For profit,21
372023,MUSCOGEE (CREEK) NATION LONG TERM ACUTE CARE HOSPI,OKMULGEE,OK,74447,(918) 756-9211,Tribal,4
232026,SELECT SPECIALTY HOSPITAL - GRAND RAPIDS,GRAND RAPIDS,MI,49503,(231) 672-6202,For profit,20
372005,EDMOND - AMG SPECIALTY HOSPITAL,EDMOND,OK,73034,(405) 341-5617,For profit,37
262016,LANDMARK HOSPITAL OF JOPLIN  LLC,JOPLIN,MO,64804,(417) 627-1309,For profit,30
172007,SELECT SPECIALTY HOSPITAL WICHITA,WICHITA,KS,67214,(316) 962-3930,For profit,35
452096,LAREDO SPECIALTY HOSPITAL LP,LAREDO,TX,78041,(956) 753-5353,For profit,40
332008,HENRY J CARTER SPECIALTY HOSPITAL,NEW YORK,NY,10035,(212) 318-8000,Government,411
192049,PROMISE HOSPITAL OF BATON ROUGE,BATON ROUGE,LA,70816,(225) 490-9637,For profit,57
362032,AULTMAN SPECIALTY HOSPITAL,CANTON,OH,44710,(330) 363-4000,Non-profit,30
62014,VIBRA HOSPITAL OF DENVER,THORNTON,CO,80229,(303) 288-3000,For profit,54
452023,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,HOUSTON,TX,77030,(713) 790-0500,For profit,110
502002,KINDRED HOSPITAL-SEATTLE,SEATTLE,WA,98125,(206) 364-2050,For profit,80
372022,CORNERSTONE HOSPITAL OF OKLAHOMA- MUSKOGEE,MUSKOGEE,OK,74401,(918) 682-6161,For profit,64
312014,MATHENY SCHOOL  &  HOSPITAL  THE,PEAPACK,NJ,7977,(908) 234-0011,Non-profit,102
222025,PAPPAS REHABILITATION HOSPITAL FOR CHILDREN,CANTON,MA,2021,(617) 828-2440,Government,239
52050,KINDRED HOSPITAL SOUTH BAY,GARDENA,CA,90247,(310) 323-5330,For profit,58
392024,LIFECARE HOSPITALS OF PITTSBURGH,PITTSBURGH,PA,15221,(412) 247-2356,For profit,35
342020,SELECT SPECIALTY HOSPITAL-GREENSBORO,GREENSBORO,NC,27401,(336) 832-7000,For profit,30
102023,SELECT SPECIALTY HOSPITAL-PALM BEACH,LAKE WORTH,FL,33461,(561) 357-7200,For profit,60
192032,LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,LAFAYETTE,LA,70506,(337) 289-8180,For profit,70
112007,WELLSTAR WINDY HILL HOSPITAL,MARIETTA,GA,30067,(770) 644-1081,Non-profit,115
452103,EL PASO LTAC HOSPTIAL,EL PASO,TX,79902,(915) 496-9687,Physician,33
442014,SELECT SPECIALTY HOSPITAL MEMPHIS,MEMPHIS,TN,38119,(901) 765-1245,For profit,30
392047,SELECT SPECIALTY HOSPITAL - DANVILLE,DANVILLE,PA,17822,(570) 214-9648,For profit,30
252004,SPECIALITY HOSPITAL OF MERIDIAN,MERIDIAN,MS,39301,(601) 703-4211,Non-profit,49
12011,NOLAND HOSPITAL ANNISTON II  LLC,ANNISTON,AL,36202,(256) 741-6141,Non-profit,38
192036,P A M SPECIALTY HOSPITAL OF HAMMOND,HAMMOND,LA,70403,(985) 902-8148,For profit,40
192011,LIFECARE HOSPITALS OF SHREVEPORT,SHREVEPORT,LA,71115,(318) 688-8504,For profit,54
452086,POST ACUTE MEDICAL SPECIALTY HOSPITAL CORPUS CH,CORPUS CHRISTI,TX,78404,(361) 881-3223,For profit,41
112017,LANDMARK HOSPITAL OF ATHENS  LLC,ATHENS,GA,30606,(706) 425-1518,For profit,42
452073,KINDRED HOSPITAL- SAN ANTONIO CENTRAL,SAN ANTONIO,TX,78205,(210) 297-7182,Non-profit,44
142010,RML HEALTH PROVIDERS LIMITED PARTNERSHIP,HINSDALE,IL,60521,(630) 286-4123,Non-profit,189
452035,MESA HILLS SPECIALTY HOSPITAL,EL PASO,TX,79902,(915) 548-1823,For profit,32
392043,CURAHEALTH HERITAGE VALLEY,BEAVER,PA,15009,(724) 773-8480,For profit,35
362035,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,BELLAIRE,OH,43906,(740) 671-2086,For profit,72
262017,SELECT SPECIALTY HOSPITAL SPRINGFIELD,SPRINGFIELD,MO,65804,(417) 881-1657,For profit,44
102020,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,TALLAHASSEE,FL,32308,(850) 219-6800,For profit,29
52033,VIBRA HOSPITAL OF SACRAMENTO,FOLSOM,CA,95630,(916) 351-9151,For profit,58
192004,PROMISE HOSPITAL BATON ROUGE,BATON ROUGE,LA,70809,(225) 490-9600,For profit,54
492011,UVA HEALTH SCIENCES CENTER,CHARLOTTESVILLE,VA,22908,(434) 924-7897,Government,40
362036,REGENCY HOSPITAL OF TOLEDO,SYLVANIA,OH,43560,(419) 318-5700,For profit,45
392025,PAM SPECIALTY HOSPITAL OF WILKES-BARRE,WILKES-BARRE,PA,18764,(570) 208-3310,For profit,36
392046,KINDRED HOSPITAL SOUTH PHILADELPHIA,PHILADELPHIA,PA,19145,(267) 570-5200,For profit,58
52031,BARLOW RESPIRATORY HOSPITAL,LOS ANGELES,CA,90026,(213) 250-4200,Non-profit,99
12009,NOLAND HOSPITAL BIRMINGHAM II,BIRMINGHAM,AL,35235,(205) 838-5100,Government,45
452055,CORNERSTONE HOSPITAL MEDICAL CENTER,HOUSTON,TX,77004,(832) 649-6200,For profit,35
452060,VIBRA HOSPITAL OF AMARILLO,AMARILLO,TX,79120,(806) 351-1600,For profit,72
312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,ATLANTIC CITY,NJ,8401,(609) 441-2122,For profit,30
392033,GOOD SHEPHERD SPECIALTY HOSPITAL,BETHLEHEM,PA,18017,(484) 884-5051,Non-profit,32
182004,SELECT SPECIALTY HOSPITAL-NORTHERN KENTUCKY,FORT THOMAS,KY,41075,(859) 572-3880,Non-profit,33
342017,ASHEVILLE SPECIALTY HOSPITAL,ASHEVILLE,NC,28802,(828) 213-1127,For profit,34
492008,SELECT SPECIALTY HOSPITAL HAMPTON ROADS ,NEWPORT NEWS,VA,23607,(757) 534-5000,Non-profit,25
452111,ATRIUM MEDICAL CENTER AT CORINTH,DENTON,TX,76208,(940) 320-2300,For profit,60
52055,CENTRAL VALLEY SPECIALTY HOSPITAL,MODESTO,CA,95354,(209) 248-7700,For profit,36
32001,SELECT SPECIALTY HOSPITAL PHOENIX,PHOENIX,AZ,85013,(602) 406-6810,For profit,48
372016,INTEGRIS BASS PAVILION,ENID,OK,73701,(580) 249-4260,Non-profit,24
392045,SELECT SPECIALTY HOSPITAL - MCKEESPORT  INC,MC KEESPORT,PA,15132,(412) 664-2900,Non-profit,30
452110,SAGECREST HOSPITAL - GRAPEVINE,GRAPEVINE,TX,76051,(817) 288-1300,For profit,60
192040,SOUTHEAST REGIONAL MEDICAL CENTER  INC,KENTWOOD,LA,70444,(985) 229-9193,Non-profit,14
392027,KINDRED HOSPITAL PHILADELPHIA,LAWNCREST,PA,19111,(215) 722-8555,For profit,52
252007,SELECT SPECIALTY HOSPITAL JACKSON,JACKSON,MS,39211,(601) 899-3800,Non-profit,53
452074,KINDRED HOSPITAL TOMBALL,TOMBALL,TX,77375,(281) 765-2622,For profit,288
392050,GOOD SHEPHERD PENN PARTNERS,PHILADELPHIA,PA,19146,(215) 893-2548,Non-profit,38
232024,SELECT SPECIALTY HOSPITAL-ANN ARBOR,YPSILANTI,MI,48197,(734) 712-0500,For profit,36
52044,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,CA,92103,(619) 260-8300,For profit,110
112018,LANDMARK HOSPITAL OF SAVANNAH  LLC,SAVANNAH,GA,31405,(573) 331-8420,For profit,50
282001,SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS),OMAHA,NE,68124,(402) 361-5755,For profit,52
352005,VIBRA HOSPITAL OF CENTRAL DAKOTAS LLC,MANDAN,ND,58554,(701) 667-2000,Non-profit,41
52045,KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,91706,(626) 388-2700,For profit,95
442011,SELECT SPECIALTY HOSPITAL-NASHVILLE,NASHVILLE,TN,37203,(615) 284-4599,For profit,70
492001,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,NORFOLK,VA,23502,(757) 461-5001,Government,296
102015,KINDRED HOSPITAL-NORTH FLORIDA,GREEN COVE SPRINGS,FL,32043,(904) 284-9230,For profit,80
362025,COMMUNITY SPECIALTY HOSPITAL,AMHERST,OH,44001,(440) 988-6141,Non-profit,30
252013,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,GREENVILLE,MS,38701,(662) 332-7344,For profit,39
152014,SELECT SPECIALTY HOSPITAL-EVANSVILLE,EVANSVILLE,IN,47713,(812) 421-2330,For profit,60
192048,P A M SPECIALTY HOSPITAL OF COVINGTON,COVINGTON,LA,70433,(985) 875-7525,For profit,58
72006,STATE OF CONNECTICUT  DEPT OF VETERANS' AFFAIRS,ROCKY HILL,CT,6067,(860) 529-2571,Government,300
452029,CONTINUE CARE HOSPITAL AT HENDRICK MEDICAL CENTER,ABILENE,TX,79601,(325) 670-5151,Non-profit,46
222046,VIBRA HOSPITAL OF WESTERN MASSACHUSETTS,SPRINGFIELD,MA,1109,(413) 787-6700,For profit,174
452118,HOUSTON METHODIST ST CATHERINE HOSPITAL,KATY,TX,77450,(281) 599-5700,Non-profit,102
52052,KINDRED HOSPITAL RIVERSIDE,PERRIS,CA,92571,(951) 436-3535,For profit,40
372019,CHG CORNERSTONE HOSPITAL OF OKLAHOMA - SHAWNEE,SHAWNEE,OK,74801,(405) 395-5800,Non-profit,34
152024,REGENCY HOSPITAL OF NORTHWEST INDIANA,EAST CHICAGO,IN,46312,(219) 392-7799,For profit,61
102022,SELECT SPECIALTY HOSPITAL GAINESVILLE INC,GAINESVILLE,FL,32610,(352) 265-0055,For profit,44
102025,KINDRED HOSPITAL THE PALM BEACHES,RIVIERA BEACH,FL,33418,(561) 840-0754,For profit,70
442015,SELECT SPECIALTY HOSPITAL-NORTH KNOXVILLE,POWELL,TN,37849,(865) 545-7370,For profit,68
262010,KINDRED HOSPITAL - ST LOUIS,SAINT LOUIS,MO,63108,(314) 361-8700,For profit,60
192013,CORNERSTONE HOSPITAL SOUTHWEST LOUISIANA,SULPHUR,LA,70663,(337) 310-6033,Non-profit,30
112004,SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA  LLC,ATLANTA,GA,30308,(404) 873-2871,For profit,72
422009,REGENCY HOSPITAL OF GREENVILLE,GREENVILLE,SC,29601,(864) 255-1401,For profit,32
362024,SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,YOUNGSTOWN,OH,44501,(330) 841-4750,For profit,31
362007,EDEN SPRINGS HEALTHCARE CENTER LLC,GREEN SPRINGS,OH,44836,(419) 639-2626,Non-profit,36
452114,ATRIUM MEDICAL CENTER,STAFFORD,TX,77477,(281) 207-8200,Physician,68
192023,ST CATHERINE MEMORIAL HOSPITAL,NEW ORLEANS,LA,70128,(504) 210-3000,Non-profit,21
392044,SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC,PITTSBURGH,PA,15213,(412) 586-9821,For profit,32
392039,SELECT SPECIALTY HOSPITAL - CENTRAL PA HARRISBURG,HARRISBURG,PA,17101,(717) 972-4560,For profit,92
102027,KINDRED HOSPITAL MELBOURNE,MELBOURNE,FL,32901,(321) 733-5725,For profit,60
102031,PROMISE HOSPITAL OF MIAMI,MIAMI LAKES,FL,33016,(786) 609-9200,For profit,90
452019,KINDRED HOSPITAL FORT WORTH- MANSFIELD,MANSFIELD,TX,76063,(817) 332-4812,For profit,55
372018,PAM SPECIALTY HOSPITAL OF TULSA,TULSA,OK,74145,(918) 663-8183,For profit,60
442017,REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL,MEMPHIS,TN,38103,(901) 513-3000,Non-profit,30
62011,CRAIG HOSPITAL,ENGLEWOOD,CO,80113,(303) 789-8000,Non-profit,93
112013,SELECT SPECIALTY HOSPITAL - AUGUSTA  INC,AUGUSTA,GA,30904,(706) 731-1200,For profit,30
72004,HOSPITAL FOR SPECIAL CARE,NEW BRITAIN,CT,6050,(860) 223-2761,Non-profit,228
372004,CURAHEALTH OKLAHOMA,OKLAHOMA CITY,OK,73103,(405) 232-8000,For profit,93
342015,CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE,CHARLOTTE,NC,28210,(704) 379-5117,Non-profit,40
232019,VIBRA OF SOUTHEASTERN MICHIGAN,LINCOLN PARK,MI,48146,(313) 594-6000,For profit,220
452018,TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,FORT WORTH,TX,76104,(817) 878-5500,Non-profit,15
192006,CORNERSTONE HOSPITAL OF BOSSIER CITY,BOSSIER CITY,LA,71112,(318) 747-9500,For profit,62
222007,HEBREW REHABILITATION CENTER,BOSTON,MA,2131,(617) 325-8000,Non-profit,675
362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,TOLEDO,OH,43614,(419) 381-0037,For profit,40
262013,SELECT SPECIALTY HOSPITAL-ST LOUIS,SAINT CHARLES,MO,63301,(314) 768-3400,For profit,33
452056,PAM  SPECIALTY HOSPITAL OF VICTORIA SOUTH,VICTORIA,TX,77901,(361) 575-1445,For profit,23
182006,CONTINUECARE HOSPITAL AT BAPTIST HEALTH CORBIN,CORBIN,KY,40701,(606) 523-5150,Non-profit,32
192041,ZACHARY - A M G SPECIALTY HOSPITAL,ZACHARY,LA,70791,(225) 683-1600,For profit,16
452090,PAM SPECIALTY HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,78249,(210) 921-3550,For profit,26
262020,LANDMARK HOSPITAL OF COLUMBIA  LLC,COLUMBIA,MO,65201,(573) 499-6600,For profit,42
102016,SISTER EMMANUEL HOSPITAL,MIAMI,FL,33133,(305) 285-2939,For profit,29
452102,COVENANT SPECIALTY HOSPITAL,LUBBOCK,TX,79410,(806) 725-9200,For profit,56
452034,CORNERSTONE HOSPITAL AUSTIN,AUSTIN,TX,78756,(512) 706-1900,For profit,157
152020,ST VINCENT SETON SPECIALTY HOSPITAL  INDIANAPOLIS,INDIANAPOLIS,IN,46260,(317) 415-8500,Non-profit,74
492009,VIBRA HOSPITAL OF RICHMOND,RICHMOND,VA,23230,(804) 678-7000,For profit,60
102028,PROMISE HOSPITAL OF FLORIDA AT THE VILLAGES,OXFORD,FL,34484,(352) 689-6402,For profit,40
152025,CENTRAL INDIANA  AMG SPECIALTY HOSPITAL LLC,MUNCIE,IN,47303,(765) 751-5253,For profit,32
322002,KINDRED HOSPITAL  ALBUQUERQUE,ALBUQUERQUE,NM,87102,(505) 242-4444,For profit,61
102001,SELECT SPECIALTY HOSPITAL-MIAMI,MIAMI,FL,33128,(305) 416-5700,For profit,47
112003,SHEPHERD CENTER,ATLANTA,GA,30309,(404) 350-7311,Non-profit,152
52054,MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,91016,(626) 359-9341,For profit,49
452080,KINDRED HOSPITAL SUGAR LAND,SUGAR LAND,TX,77479,(281) 275-6000,For profit,171
52046,PROMISE HOSPITAL OF EAST LOS ANGELES,PARAMOUNT,CA,90723,(562) 531-3110,For profit,177
522008,SELECT SPECIALTY HOSPITAL MADISON,MADISON,WI,53715,(608) 260-2700,For profit,23
452043,PINE VALLEY SPECIALTY HOSPITAL,HOUSTON,TX,77087,(713) 640-2400,For profit,59
452100,MESQUITE SPECIALTY HOSPITAL,MESQUITE,TX,75149,(972) 216-2300,Non-profit,40
362020,KINDRED HOSPITAL LIMA,LIMA,OH,45801,(419) 224-1888,For profit,12
102013,KINDRED HOSPITAL-CENTRAL TAMPA,TAMPA,FL,33603,(813) 874-7575,For profit,102
452105,BAYLOR SCOTT  &  WHITE CONTINUING CARE HOSPITAL,TEMPLE,TX,76502,(254) 215-0900,Non-profit,50
